id,front,back,status,tags
347,"Indicate the true statements regarding bone tumors in children: 1) osteosarcoma is the second most common bone tumor in children; 2) the characteristic feature of osteosarcoma is that it metastasizes to the lungs; 3) the first-choice diagnostic test for bone lesions is an MIBG (3- iodobenzylguanidine) scintigraphic scan; 4) methotrexate IS NOT used in the course of treatment for osteosarcoma; 5) Ewing sarcoma can also occur in the soft tissues; 6) if distant metastases is detected (Stage IV), Ewing sarcoma is associated with a 5- year survival in 15-20% of cases","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source combination relies on a fixed stage-IV Ewing survival percentage and other era-dependent statements. Robust facts can be retained, but the exact combination is not stable enough for a 2026 single-best answer. Explanation: Ewing sarcoma commonly metastasizes to lung and bone/bone marrow; extraskeletal Ewing exists. Survival percentages are stage- and era-dependent, so use the directional prognostic facts rather than memorizing an old exact percentage.",invalid/outdated,pediatrics leks 2026 invalid_outdated
348,"A 4-year-old child with an abdominal lump on an ultrasound scan is admitted into the Pediatric Emergency Department. The lump is localized in the plan view of the right kidney, size: 8x7x7 cm. It IS NOT encapsulated and infiltrates the adjacent structures. There are metastases to the local lymph nodes. A physical examination has revealed edema of the temporozygomatic region with bilaterally visible periorbital hematomas. Indicate the true statement(s) regarding the above clinical scenario (diagnosis and prognosis): 1) one of the steps to ensure proper diagnostic workup is to order a 24-hour…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source truncates numbered statements required by the answer combinations. The legacy key cannot be independently audited. Explanation: SOURCE TRUNCATION: the question ends mid-statement (“24-hour…”), so the answer set cannot be reconstructed. Periorbital ecchymoses with an infiltrative adrenal/retroperitoneal mass strongly suggests neuroblastoma; work-up includes urine catecholamine metabolites and metastatic staging.",invalid/outdated,pediatrics leks 2026 invalid_outdated
349,"A 5-month-old infant is admitted to the Pediatric Emergency Department, presenting with symptoms of a respiratory infection which started a few days earlier, following a cold and cough for several days. The child had a fever of up to 39°C, rapid breathing rate (50/min) and difficulty breathing, with clearly detectable intercostal retractions. A physical examination revealed audible crackles in both lungs and tachycardia. A radiological study of the chest showed shadowing in the lungs, suggestive of an inflammation. Laboratory test results showed an elevated CRP level (132 mg/l) and elevated…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source truncates the clinical stem/answer-defining information. Do not force a single answer from incomplete source text. Explanation: SOURCE TRUNCATION: the clinical vignette is cut off before the question is complete. Severe infant pneumonia with respiratory distress requires hospital-level assessment; blood cultures are appropriate in severe disease, while routine fluoroquinolones are not first-line infant CAP therapy.",invalid/outdated,pediatrics leks 2026 invalid_outdated
350,Indicate true statement(s) regarding pre-excitation syndromes: 1) a pre-excitation syndrome is a premature activation of the ventricles through an accessory pathway connecting the atrium and ventricle; 2) WPW (Wolff-Parkinson-White) syndrome features prolonged PR interval and QRS rd complex widened by the delta wave; 3) LGL (Lown-Ganong-Levine) syndrome features shortened PR interval and QRS complex widened by the delta wave; 4) digoxin is the medication of choice in the treatment of WPW syndrome; 5) clinical symptoms of pre-excitation syndromes occur during bradycardia; 6) from around the…,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Statement 6 is cut off in the source, and several remaining statements are already clearly false (WPW has short PR; digoxin is not the default treatment and can be dangerous in pre-excited AF). The combination cannot be reconstructed. Explanation: SOURCE TRUNCATION: WPW = short PR + delta wave + wide QRS due to an accessory pathway. LGL is a historical label with short PR and normal QRS/no delta. Avoid AV-nodal blockers such as digoxin in pre-excited atrial fibrillation.",invalid/outdated,pediatrics leks 2026 invalid_outdated
351,"A 4-month-old infant was brought to the paediatric Emergency Department by his father due to watery nasal discharge. The parent, after reading information online, suspects acute sinusitis. Indicate true statement:","Answer: B: the sphenoid sinuses become aerated after 3 years of age Explanation: Paranasal sinuses develop at different ages: maxillary/ethmoid are present very early, sphenoid aerates later in early childhood, and frontal sinuses develop later. A 4-month-old with simple watery rhinorrhoea is far more likely to have viral rhinitis than bacterial sinusitis.",caveat/updated,pediatrics leks 2026 caveat_updated
352,"Indicate FALSE statement(s) regarding coagulopathies: 1) haemophilia type A is inherited in an autosomal recessive manner; 2) haemophilia type A results from a deficiency of factor VIII; 3) haemophilia type B is inherited in an autosomal dominant manner; 4) in 80% of cases there is a positive family history, while sporadic cases are caused by new mutations; 5) haemophilia types A and B occur mainly in boys; females are carriers, although the disease may also occur in girls; 6) typical manifestations of haemophilia include intra-articular and intra- muscular bleeding; 7) the severe form of…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Statement 7 is cut off. Statements 1 and 3 are already false because haemophilia A and B are X-linked recessive, but without statement 7 the requested false-set combination cannot be finalized. Explanation: SOURCE TRUNCATION: haemophilia A and B are X-linked recessive deficiencies of factors VIII and IX; deep muscle/hemarthrosis bleeding is typical, and severe disease means factor activity <1%. The missing statement 7 prevents a reliable combination answer.",invalid/outdated,pediatrics leks 2026 invalid_outdated
353,"According to the 2026 vaccination schedule, the mandatory vaccinations administered during the first year of life include: (BCG-vaccination against tuberculosis, DTP-vaccination against diphtheria, tetanus, and pertussis, IPV-intramuscular vaccine against poliomyelitis, OPV-oral poliomyelitis vaccine, PCV-vaccination against pneumococcal infection, RV-vaccination against rotavirus infection, HBV-vaccination against hepatitis B, Hib-vaccination against Haemophilus influenzae type B, MMR-vaccination against measles, mumps, and rubella)","Answer: C: BCG, DTP, IPV, PCV, RV, HBV, Hib Explanation: This item is already labelled 2026 but had no source answer marker. In the first year, Polish mandatory vaccines include BCG, HBV, rotavirus, DTP, Hib, PCV and IPV; MMR starts at 13-15 months -> C. 📊 2026 Polish PSO — mandatory vaccines in the first year Age window Key mandatory vaccines Birth / first 24h BCG + HBV 2 months DTP, IPV, Hib, PCV, RV 3-4 months next DTP/IPV/Hib + RV/PCV sequence 5-6 months further DTP/IPV/Hib doses (per schedule/product) 6-7 months HBV completion dose Note: MMR starts after the first birthday (13-15 months). OPV is not part of the routine schedule. 💡 MEMORIZE 2026 Polish PSO, first year: BCG, HBV, rotavirus, DTP, IPV, Hib and pneumococcal vaccination are given. MMR begins after the first birthday (13-15 months), and OPV is not used in the routine schedule.",caveat/updated,pediatrics leks 2026 caveat_updated
354,"According to the 2026 vaccination schedule, the recommended (non-mandatory) vaccinations for children include immunization against: 1) influenza; 2) hepatitis A; 3) meningococcal infection; 4) pneumococcal infection; 5) human papillomavirus (HPV), 6) COVID-19; 7) chickenpox (varicella)","Answer: A: 1, 2, 3, 5, 6, 7 Explanation: The source answer remains A after a 2026 check: influenza, HAV, meningococcal, HPV, COVID-19 and varicella are recommended categories; pneumococcal vaccine is routine mandatory for the general paediatric schedule (with risk-specific nuances). 📊 2026 Polish PSO — recommended vs general mandatory vaccines Recommended / non-mandatory Already in the general mandatory schedule Influenza Pneumococcal vaccine Hepatitis A — Meningococcal vaccines — HPV — COVID-19 — Varicella (outside mandatory risk groups) — Note: That is why statement 4 (pneumococcal infection) does not belong in the “recommended only” answer set. 💡 MEMORIZE 2026 Polish PSO: recommended/non-mandatory vaccines include influenza, hepatitis A, meningococcal, HPV, COVID-19 and varicella (outside defined mandatory risk groups). Pneumococcal vaccination is mandatory for the general paediatric population, so statement 4 does not belong in the “recommended only” set.",caveat/updated,pediatrics leks 2026 caveat_updated
355,Indicate FALSE statement regarding the congenital autoinflammatory syndrome PFAPA in children:,"Answer: B: the gene responsible for the occurrence of PFAPA is ABC1 Explanation: PFAPA has no single established “ABC1 gene.” It is a clinical autoinflammatory syndrome with periodic fever, aphthous stomatitis, pharyngitis and cervical adenitis, usually beginning in early childhood and with a good prognosis.",caveat/updated,pediatrics leks 2026 caveat_updated
356,Indicate true statement regarding the treatment of osteosarcoma in children:,"Answer: A: preoperative chemotherapy includes ifosfamide, cisplatin, adriamycin, and high-dose methotrexate with calcium folinate Explanation: Osteosarcoma is treated with multi-agent chemotherapy plus definitive surgery; limb-sparing surgery is preferred when oncologically feasible. Prognosis depends strongly on metastases and response to chemotherapy.",caveat/updated,pediatrics leks 2026 caveat_updated
